fold,dataset,model,strategy,pre_corr,corr_th,measure,n_features,acc_train,gps_train,acc_test,gps_test,complexity_all_kDN,complexity_all_N1,complexity_all_Hostility,complexity_sel_kDN,complexity_sel_N1,complexity_sel_Hostility
3,pollution_NoPreFilter,KNN,COMPLEXITY_corr,False,0.75,N1,15,0.8333333333333334,0.8319327731092437,0.75,0.7476635514018692,,,,0.2916666666666667,0.1972222222222222,0.25
3,pollution_NoPreFilter,SVM,COMPLEXITY_corr,False,0.75,N1,15,0.9166666666666666,0.9166666666666666,0.6666666666666666,0.6666666666666666,,,,0.2916666666666667,0.1972222222222222,0.25
3,pollution_NoPreFilter,KNN,COMPLEXITY_corr,False,0.8,N1,15,0.8333333333333334,0.8319327731092437,0.75,0.7476635514018692,,,,0.2916666666666667,0.1972222222222222,0.25
3,pollution_NoPreFilter,SVM,COMPLEXITY_corr,False,0.8,N1,15,0.9166666666666666,0.9166666666666666,0.6666666666666666,0.6666666666666666,,,,0.2916666666666667,0.1972222222222222,0.25
3,pollution_NoPreFilter,KNN,COMPLEXITY_corr,False,0.55,Hostility,15,0.8333333333333334,0.8319327731092437,0.75,0.7476635514018692,,,,0.2916666666666667,0.1972222222222222,0.25
3,pollution_NoPreFilter,SVM,COMPLEXITY_corr,False,0.55,Hostility,15,0.9166666666666666,0.9166666666666666,0.6666666666666666,0.6666666666666666,,,,0.2916666666666667,0.1972222222222222,0.25
3,pollution_NoPreFilter,KNN,COMPLEXITY_corr,False,0.6,Hostility,15,0.8333333333333334,0.8319327731092437,0.75,0.7476635514018692,,,,0.2916666666666667,0.1972222222222222,0.25
3,pollution_NoPreFilter,SVM,COMPLEXITY_corr,False,0.6,Hostility,15,0.9166666666666666,0.9166666666666666,0.6666666666666666,0.6666666666666666,,,,0.2916666666666667,0.1972222222222222,0.25
3,pollution_NoPreFilter,KNN,COMPLEXITY_corr,False,0.65,Hostility,15,0.8333333333333334,0.8319327731092437,0.75,0.7476635514018692,,,,0.2916666666666667,0.1972222222222222,0.25
3,pollution_NoPreFilter,SVM,COMPLEXITY_corr,False,0.65,Hostility,15,0.9166666666666666,0.9166666666666666,0.6666666666666666,0.6666666666666666,,,,0.2916666666666667,0.1972222222222222,0.25
3,pollution_NoPreFilter,KNN,COMPLEXITY_corr,False,0.7,Hostility,15,0.8333333333333334,0.8319327731092437,0.75,0.7476635514018692,,,,0.2916666666666667,0.1972222222222222,0.25
3,pollution_NoPreFilter,SVM,COMPLEXITY_corr,False,0.7,Hostility,15,0.9166666666666666,0.9166666666666666,0.6666666666666666,0.6666666666666666,,,,0.2916666666666667,0.1972222222222222,0.25
