dataset,subset,model,mean_acc,std_acc,mean_gps,std_gps,mean_acc_class_0,std_acc_class_0,mean_acc_class_1,std_acc_class_1
ArtificialDataset3,rf_top25,XGBoost,0.9460000000000001,0.017999999999999974,0.9459563001531042,0.01804813075949486,0.952,0.013266499161421611,0.9399999999999998,0.04098780306383839
ArtificialDataset3,relief_top25,LogReg,0.9469999999999998,0.023259406699226,0.9469217046056654,0.02341130308547642,0.958,0.018867962264113202,0.9359999999999999,0.04543126676640218
ArtificialDataset3,relief_top25,SVM-linear,0.954,0.02009975124224176,0.9539522905313852,0.02015910692148713,0.9659999999999999,0.0200997512422418,0.9419999999999998,0.03841874542459708
ArtificialDataset3,relief_top25,SVM-rbf,0.9890000000000001,0.007000000000000007,0.9889970449188912,0.007003077981516589,0.9899999999999999,0.016124515496597113,0.9880000000000001,0.013266499161421611
ArtificialDataset3,relief_top25,RandomForest,0.946,0.016852299546352714,0.9459795013564284,0.016862513950577907,0.9479999999999998,0.02039607805437113,0.944,0.02799999999999999
ArtificialDataset3,relief_top25,KNN,0.974,0.015620499351813323,0.97399523624594,0.015622960180323246,0.9760000000000002,0.014966629547095779,0.9719999999999999,0.02400000000000002
ArtificialDataset3,relief_top25,NaiveBayes,0.901,0.020712315177207997,0.9008609730432573,0.020848403780973142,0.9219999999999999,0.01886796226411318,0.8800000000000001,0.041952353926806046
ArtificialDataset3,relief_top25,DecisionTree,0.8480000000000001,0.0248193472919817,0.8477327916009305,0.024876911827875752,0.8699999999999999,0.03255764119219944,0.8260000000000002,0.0456508488420533
ArtificialDataset3,relief_top25,XGBoost,0.951,0.018138357147217034,0.9509688189516607,0.018145304854208153,0.958,0.020880613017821098,0.944,0.0366606055596467
ArtificialDataset3,xgb_top25,LogReg,0.932,0.02441311123146738,0.9319047187710329,0.024521617357460813,0.9400000000000001,0.029664793948382635,0.924,0.0463033476111609
ArtificialDataset3,xgb_top25,SVM-linear,0.9269999999999999,0.02238302928559937,0.9268803403457151,0.022520506362462736,0.9279999999999999,0.022271057451320058,0.9259999999999999,0.05370288632839021
ArtificialDataset3,xgb_top25,SVM-rbf,0.9709999999999999,0.013747727084867531,0.9709909692431692,0.013751919501029664,0.9760000000000002,0.01959591794226544,0.966,0.022
ArtificialDataset3,xgb_top25,RandomForest,0.9460000000000001,0.016248076809271907,0.9459388117915424,0.016285043244039857,0.952,0.023999999999999983,0.9399999999999998,0.041952353926806046
ArtificialDataset3,xgb_top25,KNN,0.961,0.020712315177207966,0.9609832036374211,0.020723116088820697,0.9639999999999999,0.01959591794226544,0.958,0.03399999999999999
ArtificialDataset3,xgb_top25,NaiveBayes,0.9109999999999999,0.019209372712298528,0.910928360760435,0.01922226477158487,0.924,0.03199999999999999,0.898,0.028913664589601915
ArtificialDataset3,xgb_top25,DecisionTree,0.841,0.021189620100417077,0.8405801958477352,0.021443659656320377,0.874,0.031048349392520075,0.808,0.04308131845707602
ArtificialDataset3,xgb_top25,XGBoost,0.938,0.018867962264113185,0.9379632133047421,0.01889298115456473,0.9419999999999998,0.01661324772583612,0.9339999999999998,0.037999999999999985
ArtificialDataset3,mutual_info_corr_top25,LogReg,0.9489999999999998,0.019723082923316006,0.9489864634534906,0.019740188878795816,0.9579999999999999,0.018867962264113226,0.9399999999999998,0.02529822128134702
ArtificialDataset3,mutual_info_corr_top25,SVM-linear,0.9400000000000001,0.033166247903553984,0.9399657891930397,0.033230015158377944,0.952,0.027129319932501072,0.9279999999999999,0.04214261501141095
ArtificialDataset3,mutual_info_corr_top25,SVM-rbf,0.9789999999999999,0.017000000000000015,0.9789901108443886,0.017010237679977773,0.992,0.013266499161421611,0.966,0.025377155080899046
ArtificialDataset3,mutual_info_corr_top25,RandomForest,0.95,0.013416407864998734,0.9499601492330925,0.013443164820554441,0.9620000000000001,0.018867962264113223,0.938,0.03155946767611898
ArtificialDataset3,mutual_info_corr_top25,KNN,0.9559999999999998,0.016248076809271917,0.9559871760842524,0.016251258533846093,0.958,0.022715633383201095,0.954,0.023748684174075826
ArtificialDataset3,mutual_info_corr_top25,NaiveBayes,0.8370000000000001,0.03848376280978772,0.8324650274182037,0.040670415990586385,0.97,0.02569046515733026,0.704,0.08475848040166838
ArtificialDataset3,mutual_info_corr_top25,DecisionTree,0.842,0.023999999999999994,0.8418375187805862,0.023918563356199286,0.834,0.029732137494637018,0.85,0.045825756949558386
ArtificialDataset3,mutual_info_corr_top25,XGBoost,0.942,0.018330302779823338,0.9419426942593988,0.018365534552516348,0.942,0.0362767142944341,0.9419999999999998,0.03155946767611898
ArtificialDataset3,f_classif_corr_top25,LogReg,0.924,0.032924155266308645,0.923896116483321,0.03300684685890189,0.9339999999999999,0.032310988842807004,0.9139999999999999,0.053702886328390216
ArtificialDataset3,f_classif_corr_top25,SVM-linear,0.923,0.025317977802344304,0.9229217144747741,0.025372536736589995,0.9279999999999999,0.02561249694973136,0.9179999999999999,0.046861498055439925
ArtificialDataset3,f_classif_corr_top25,SVM-rbf,0.9550000000000001,0.02109502310972897,0.9549862427788728,0.02110581946911408,0.954,0.02835489375751563,0.9559999999999998,0.023323807579381187
ArtificialDataset3,f_classif_corr_top25,RandomForest,0.944,0.01496662954709575,0.9439882631267855,0.014971685300214792,0.9460000000000001,0.021999999999999995,0.942,0.018867962264113188
ArtificialDataset3,f_classif_corr_top25,KNN,0.9369999999999999,0.020024984394500754,0.9368939351801606,0.020155029514647586,0.9620000000000001,0.024413111231467405,0.9119999999999999,0.03709447398198281
ArtificialDataset3,f_classif_corr_top25,NaiveBayes,0.889,0.021189620100417108,0.8886312956385204,0.021480872475017312,0.924,0.026532998322843192,0.8539999999999999,0.0529528091794949
ArtificialDataset3,f_classif_corr_top25,DecisionTree,0.834,0.020099751242241788,0.8338699580106423,0.020121335894560888,0.8380000000000001,0.03627671429443411,0.8300000000000001,0.02720294101747088
ArtificialDataset3,f_classif_corr_top25,XGBoost,0.9349999999999999,0.02578759391645523,0.9349272860809243,0.025862152141177177,0.9399999999999998,0.017888543819998298,0.9299999999999999,0.05079370039680117
ArtificialDataset3,rf_corr_top25,LogReg,0.9469999999999998,0.021931712199461297,0.946905290545209,0.022083235336710097,0.9559999999999998,0.02939387691339812,0.9380000000000001,0.046000000000000006
ArtificialDataset3,rf_corr_top25,SVM-linear,0.951,0.023853720883753114,0.9509319969491472,0.023942443825465076,0.9640000000000001,0.02799999999999999,0.938,0.04142463035441595
ArtificialDataset3,rf_corr_top25,SVM-rbf,0.982,0.01536229149573723,0.9819954605482119,0.015365861355501987,0.9879999999999999,0.016000000000000014,0.9759999999999998,0.021540659228538036
ArtificialDataset3,rf_corr_top25,RandomForest,0.9579999999999999,0.010770329614268988,0.957965830423321,0.010814204533346373,0.974,0.018000000000000016,0.9419999999999998,0.02599999999999999
ArtificialDataset3,rf_corr_top25,KNN,0.966,0.016248076809271934,0.9659838851683732,0.016257592847437923,0.974,0.018000000000000016,0.958,0.028913664589601915
ArtificialDataset3,rf_corr_top25,NaiveBayes,0.8959999999999999,0.027276363393971735,0.8956987715308495,0.027508772523920588,0.9260000000000002,0.035832945734337825,0.866,0.0544426303552648
ArtificialDataset3,rf_corr_top25,DecisionTree,0.85,0.027202941017470894,0.8496434773914574,0.027287326230933134,0.8600000000000001,0.059329587896765304,0.8400000000000001,0.04195235392680606
ArtificialDataset3,rf_corr_top25,XGBoost,0.9469999999999998,0.010999999999999977,0.9469774336471637,0.011004625372751698,0.952,0.013266499161421584,0.942,0.028913664589601908
ArtificialDataset3,relief_corr_top25,LogReg,0.944,0.028705400188814633,0.9439341127382976,0.028817092370119833,0.9559999999999998,0.021540659228538015,0.932,0.046647615158762396
ArtificialDataset3,relief_corr_top25,SVM-linear,0.9479999999999998,0.026758176320519286,0.9479186625791416,0.026892497155295243,0.958,0.020880613017821098,0.938,0.05015974481593781
ArtificialDataset3,relief_corr_top25,SVM-rbf,0.9890000000000001,0.01044030650891056,0.9889978553294293,0.010442258345909535,0.99,0.016124515496597113,0.9880000000000001,0.013266499161421611
ArtificialDataset3,relief_corr_top25,RandomForest,0.9509999999999998,0.013747727084867498,0.9509668146856016,0.01374923408363776,0.954,0.02690724809414742,0.9479999999999998,0.031240998703626593
ArtificialDataset3,relief_corr_top25,KNN,0.982,0.01536229149573723,0.9819971206682994,0.01536403141874994,0.982,0.018867962264113223,0.982,0.018867962264113223
ArtificialDataset3,relief_corr_top25,NaiveBayes,0.913,0.02451530134426251,0.9128168134730993,0.024582008279800394,0.942,0.02749545416973502,0.884,0.04800000000000001
ArtificialDataset3,relief_corr_top25,DecisionTree,0.841,0.026627053911388684,0.8407033709366326,0.026678194456017653,0.8640000000000001,0.04270831300812526,0.818,0.04044749683231336
ArtificialDataset3,relief_corr_top25,XGBoost,0.95,0.0214476105895272,0.9499800625415288,0.021453389467476745,0.9560000000000001,0.021540659228538015,0.944,0.03440930106817049
ArtificialDataset3,xgb_corr_top25,LogReg,0.946,0.02576819745345024,0.9459585880378576,0.02583394103179548,0.9559999999999998,0.024979991993593582,0.9359999999999999,0.03773592452822641
ArtificialDataset3,xgb_corr_top25,SVM-linear,0.9410000000000001,0.028792360097775926,0.9409632742002824,0.02884155266497129,0.95,0.024083189157584572,0.932,0.04118252056394799
ArtificialDataset3,xgb_corr_top25,SVM-rbf,0.982,0.012489995996796807,0.9819975460191911,0.012490722835559314,0.986,0.015620499351813323,0.9780000000000001,0.016613247725836163
ArtificialDataset3,xgb_corr_top25,RandomForest,0.953,0.01734935157289745,0.9529656439102775,0.01738413718049066,0.9640000000000001,0.021540659228538015,0.942,0.03155946767611899
ArtificialDataset3,xgb_corr_top25,KNN,0.974,0.014966629547095779,0.9739891818398894,0.014974994413153092,0.982,0.022715633383201116,0.966,0.020099751242241778
ArtificialDataset3,xgb_corr_top25,NaiveBayes,0.8780000000000001,0.029933259094191558,0.8763445311883045,0.03138840618483411,0.788,0.06705221845696083,0.968,0.023999999999999997
