fold,dataset,model,strategy,pre_corr,corr_th,measure,n_features,acc_train,gps_train,acc_test,gps_test,complexity_all_kDN,complexity_all_N1,complexity_all_Hostility,complexity_sel_kDN,complexity_sel_N1,complexity_sel_Hostility
2,parkinsons_NoPreFilter,SVM,COMPLEXITY_corr,False,0.55,kDN,9,0.9102564102564102,0.8547632963179428,0.8974358974358975,0.832535885167464,,,,0.14102564102564102,0.08557692307692308,0.10897435897435898
2,parkinsons_NoPreFilter,KNN,COMPLEXITY_corr,False,0.6,kDN,12,0.9551282051282052,0.9386578839028407,0.9487179487179487,0.9316081330868762,,,,0.11666666666666668,0.08098290598290599,0.10897435897435898
2,parkinsons_NoPreFilter,SVM,COMPLEXITY_corr,False,0.6,kDN,12,0.9102564102564102,0.8547632963179428,0.9230769230769231,0.8695652173913043,,,,0.11666666666666668,0.08098290598290599,0.10897435897435898
2,parkinsons_NoPreFilter,KNN,COMPLEXITY_corr,False,0.65,kDN,14,0.9423076923076923,0.9235569422776913,0.9487179487179487,0.9316081330868762,,,,0.12435897435897435,0.07702991452991452,0.07692307692307693
2,parkinsons_NoPreFilter,SVM,COMPLEXITY_corr,False,0.65,kDN,14,0.8974358974358975,0.8277453091356506,0.9230769230769231,0.8695652173913043,,,,0.12435897435897435,0.07702991452991452,0.07692307692307693
2,parkinsons_NoPreFilter,KNN,COMPLEXITY_corr,False,0.7,kDN,16,0.9294871794871795,0.9077554797293391,0.9487179487179487,0.9316081330868762,,,,0.11923076923076922,0.07083333333333333,0.08333333333333333
2,parkinsons_NoPreFilter,SVM,COMPLEXITY_corr,False,0.7,kDN,16,0.9038461538461539,0.8415374241402563,0.9230769230769231,0.8695652173913043,,,,0.11923076923076922,0.07083333333333333,0.08333333333333333
2,parkinsons_NoPreFilter,KNN,COMPLEXITY_corr,False,0.75,kDN,17,0.9230769230769231,0.8982811396279726,0.9487179487179487,0.9316081330868762,,,,0.12051282051282051,0.07083333333333333,0.0641025641025641
2,parkinsons_NoPreFilter,SVM,COMPLEXITY_corr,False,0.75,kDN,17,0.8974358974358975,0.8277453091356506,0.8974358974358975,0.8108108108108109,,,,0.12051282051282051,0.07083333333333333,0.0641025641025641
2,parkinsons_NoPreFilter,KNN,COMPLEXITY_corr,False,0.8,kDN,19,0.9102564102564102,0.8786028334147532,0.9487179487179487,0.9316081330868762,,,,0.12692307692307692,0.08615689865689866,0.12179487179487179
2,parkinsons_NoPreFilter,SVM,COMPLEXITY_corr,False,0.8,kDN,19,0.8974358974358975,0.8277453091356506,0.8974358974358975,0.8108108108108109,,,,0.12692307692307692,0.08615689865689866,0.12179487179487179
2,parkinsons_NoPreFilter,KNN,COMPLEXITY_corr,False,0.55,N1,19,0.9102564102564102,0.8786028334147532,0.9487179487179487,0.9316081330868762,,,,0.12692307692307692,0.08615689865689866,0.12179487179487179
2,parkinsons_NoPreFilter,SVM,COMPLEXITY_corr,False,0.55,N1,19,0.8974358974358975,0.8277453091356506,0.8974358974358975,0.8108108108108109,,,,0.12692307692307692,0.08615689865689866,0.12179487179487179
2,parkinsons_NoPreFilter,KNN,COMPLEXITY_corr,False,0.6,N1,20,0.9102564102564102,0.8786028334147532,0.9487179487179487,0.9316081330868762,,,,0.1294871794871795,0.08653846153846154,0.09615384615384616
2,parkinsons_NoPreFilter,SVM,COMPLEXITY_corr,False,0.6,N1,20,0.8974358974358975,0.8277453091356506,0.8974358974358975,0.8108108108108109,,,,0.1294871794871795,0.08653846153846154,0.09615384615384616
2,parkinsons_NoPreFilter,KNN,COMPLEXITY_corr,False,0.65,N1,20,0.9102564102564102,0.8786028334147532,0.9487179487179487,0.9316081330868762,,,,0.1294871794871795,0.08653846153846154,0.09615384615384616
2,parkinsons_NoPreFilter,SVM,COMPLEXITY_corr,False,0.65,N1,20,0.8974358974358975,0.8277453091356506,0.8974358974358975,0.8108108108108109,,,,0.1294871794871795,0.08653846153846154,0.09615384615384616
2,parkinsons_NoPreFilter,KNN,COMPLEXITY_corr,False,0.7,N1,20,0.9102564102564102,0.8786028334147532,0.9487179487179487,0.9316081330868762,,,,0.1294871794871795,0.08653846153846154,0.09615384615384616
2,parkinsons_NoPreFilter,SVM,COMPLEXITY_corr,False,0.7,N1,20,0.8974358974358975,0.8277453091356506,0.8974358974358975,0.8108108108108109,,,,0.1294871794871795,0.08653846153846154,0.09615384615384616
2,parkinsons_NoPreFilter,KNN,COMPLEXITY_corr,False,0.75,N1,20,0.9102564102564102,0.8786028334147532,0.9487179487179487,0.9316081330868762,,,,0.1294871794871795,0.08653846153846154,0.09615384615384616
2,parkinsons_NoPreFilter,SVM,COMPLEXITY_corr,False,0.75,N1,20,0.8974358974358975,0.8277453091356506,0.8974358974358975,0.8108108108108109,,,,0.1294871794871795,0.08653846153846154,0.09615384615384616
2,parkinsons_NoPreFilter,KNN,COMPLEXITY_corr,False,0.8,N1,20,0.9102564102564102,0.8786028334147532,0.9487179487179487,0.9316081330868762,,,,0.1294871794871795,0.08653846153846154,0.09615384615384616
2,parkinsons_NoPreFilter,SVM,COMPLEXITY_corr,False,0.8,N1,20,0.8974358974358975,0.8277453091356506,0.8974358974358975,0.8108108108108109,,,,0.1294871794871795,0.08653846153846154,0.09615384615384616
2,parkinsons_NoPreFilter,KNN,COMPLEXITY_corr,False,0.55,Hostility,8,0.9358974358974359,0.9170077307867213,0.8974358974358975,0.832535885167464,,,,0.11410256410256409,0.07799145299145299,0.12179487179487179
2,parkinsons_NoPreFilter,SVM,COMPLEXITY_corr,False,0.55,Hostility,8,0.9166666666666666,0.8674698795180724,0.9230769230769231,0.8695652173913043,,,,0.11410256410256409,0.07799145299145299,0.12179487179487179
2,parkinsons_NoPreFilter,KNN,COMPLEXITY_corr,False,0.6,Hostility,8,0.9487179487179487,0.9316081330868762,0.9230769230769231,0.882608695652174,,,,0.12564102564102564,0.09326923076923076,0.08974358974358974
2,parkinsons_NoPreFilter,SVM,COMPLEXITY_corr,False,0.6,Hostility,8,0.9166666666666666,0.8674698795180724,0.9230769230769231,0.8695652173913043,,,,0.12564102564102564,0.09326923076923076,0.08974358974358974
2,parkinsons_NoPreFilter,KNN,COMPLEXITY_corr,False,0.65,Hostility,11,0.9551282051282052,0.9386578839028407,0.9487179487179487,0.9316081330868762,,,,0.11666666666666668,0.09049145299145299,0.0641025641025641
2,parkinsons_NoPreFilter,SVM,COMPLEXITY_corr,False,0.65,Hostility,11,0.9102564102564102,0.8547632963179428,0.9230769230769231,0.8695652173913043,,,,0.11666666666666668,0.09049145299145299,0.0641025641025641
2,parkinsons_NoPreFilter,KNN,COMPLEXITY_corr,False,0.7,Hostility,13,0.9423076923076923,0.9235569422776913,0.9487179487179487,0.9316081330868762,,,,0.12307692307692307,0.07478632478632478,0.07692307692307693
2,parkinsons_NoPreFilter,SVM,COMPLEXITY_corr,False,0.7,Hostility,13,0.9102564102564102,0.8547632963179428,0.9230769230769231,0.8695652173913043,,,,0.12307692307692307,0.07478632478632478,0.07692307692307693
2,parkinsons_NoPreFilter,KNN,COMPLEXITY_corr,False,0.75,Hostility,15,0.9358974358974359,0.9156069364161848,0.9487179487179487,0.9316081330868762,,,,0.11666666666666667,0.06837606837606837,0.07692307692307693
2,parkinsons_NoPreFilter,SVM,COMPLEXITY_corr,False,0.75,Hostility,15,0.9102564102564102,0.8547632963179428,0.9230769230769231,0.8695652173913043,,,,0.11666666666666667,0.06837606837606837,0.07692307692307693
2,parkinsons_NoPreFilter,KNN,COMPLEXITY_corr,False,0.8,Hostility,16,0.9358974358974359,0.9156069364161848,0.9487179487179487,0.9316081330868762,,,,0.11410256410256411,0.06837606837606837,0.07692307692307693
2,parkinsons_NoPreFilter,SVM,COMPLEXITY_corr,False,0.8,Hostility,16,0.8974358974358975,0.8277453091356506,0.9230769230769231,0.8695652173913043,,,,0.11410256410256411,0.06837606837606837,0.07692307692307693
3,parkinsons_NoPreFilter,KNN,NONE,False,,NONE,22,0.9487179487179487,0.9261477045908182,0.8974358974358975,0.8605577689243029,0.11282051282051284,0.09252136752136751,0.08333333333333333,,,
3,parkinsons_NoPreFilter,SVM,NONE,False,,NONE,22,0.9102564102564102,0.8507059176930009,0.9230769230769231,0.8826086956521739,0.11282051282051284,0.09252136752136751,0.08333333333333333,,,
3,parkinsons_NoPreFilter,KNN,COMPLEXITY_corr,False,0.55,kDN,10,0.9358974358974359,0.9125329499161274,0.8974358974358975,0.8605577689243029,,,,0.14743589743589744,0.08333333333333333,0.15384615384615385
3,parkinsons_NoPreFilter,SVM,COMPLEXITY_corr,False,0.55,kDN,10,0.9038461538461539,0.8369439518926838,0.8974358974358975,0.8484848484848485,,,,0.14743589743589744,0.08333333333333333,0.15384615384615385
