measure,subset_k,model,variables_incluidas,mean_acc,std_acc,mean_gps,std_gps,mean_acc_class_0,mean_acc_class_1,std_acc_class_0,std_acc_class_1
Hostility,13,XGBoost,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11",0.959,0.013747727084867533,0.9589586489603361,0.013795063709257965,0.968,0.95,0.018330302779823376,0.036055512754639876
Hostility,14,LogReg,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11,f16",0.9390000000000001,0.016999999999999963,0.9389530704052553,0.01700605081296553,0.946,0.932,0.02374868417407582,0.037094473981982796
Hostility,14,SVM-linear,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11,f16",0.9439999999999997,0.019595917942265395,0.9439517678978266,0.019619336919108003,0.9559999999999998,0.932,0.021540659228538015,0.038157568056677804
Hostility,14,SVM-rbf,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11,f16",0.97,0.008944271909999166,0.9699888634180439,0.008943629873922528,0.9759999999999998,0.9640000000000001,0.023323807579381222,0.017435595774162708
Hostility,14,RandomForest,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11,f16",0.953,0.025317977802344304,0.9529533240628748,0.025352830135045197,0.958,0.9480000000000001,0.030265491900843117,0.04214261501141094
Hostility,14,KNN,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11,f16",0.9650000000000001,0.0206155281280883,0.9649488588317938,0.02066088472664116,0.978,0.952,0.03515679166249389,0.034871191548325374
Hostility,14,NaiveBayes,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11,f16",0.9029999999999999,0.022825424421026655,0.9028523188641792,0.022888505091590784,0.9,0.9059999999999999,0.02966479394838264,0.05219195340279956
Hostility,14,DecisionTree,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11,f16",0.8870000000000001,0.0260959767013998,0.8868258101708875,0.026213422328709015,0.8880000000000001,0.8859999999999999,0.039191835884530846,0.04737087712930803
Hostility,14,XGBoost,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11,f16",0.96,0.013416407864998751,0.9599438447249392,0.013472809170101742,0.9640000000000001,0.9559999999999998,0.03322649545167229,0.03555277766926235
Hostility,15,LogReg,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11,f16,f1",0.9390000000000001,0.016999999999999963,0.9389530704052553,0.01700605081296553,0.946,0.932,0.02374868417407582,0.037094473981982796
Hostility,15,SVM-linear,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11,f16,f1",0.9439999999999997,0.019595917942265395,0.9439517678978266,0.019619336919108003,0.9559999999999998,0.932,0.021540659228538015,0.038157568056677804
Hostility,15,SVM-rbf,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11,f16,f1",0.97,0.008944271909999166,0.9699888634180439,0.008943629873922528,0.9759999999999998,0.9640000000000001,0.023323807579381222,0.017435595774162708
Hostility,15,RandomForest,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11,f16,f1",0.9490000000000001,0.024269322199023183,0.9489286153152783,0.02431263543389696,0.95,0.9480000000000001,0.03714835124201342,0.04308131845707602
Hostility,15,KNN,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11,f16,f1",0.9620000000000001,0.023151673805580437,0.9619526088008239,0.023190374036488392,0.974,0.95,0.031048349392520047,0.039242833740697154
Hostility,15,NaiveBayes,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11,f16,f1",0.9019999999999999,0.01777638883463117,0.9018493037271957,0.017827728769172414,0.898,0.9059999999999999,0.028913664589601925,0.04903060268852505
Hostility,15,DecisionTree,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11,f16,f1",0.8870000000000001,0.032878564445547216,0.8868242921037177,0.03294296990190822,0.892,0.882,0.03709447398198283,0.057584720195551865
Hostility,15,XGBoost,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11,f16,f1",0.96,0.015491933384829681,0.9599552973121648,0.015530395605101156,0.968,0.952,0.02856571371417141,0.03487119154832538
Hostility,16,LogReg,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11,f16,f1,f15",0.938,0.01720465053408522,0.9379488439281018,0.017211350738762773,0.944,0.932,0.026532998322843185,0.037094473981982796
Hostility,16,SVM-linear,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11,f16,f1,f15",0.9470000000000001,0.022383029285599366,0.9469684253517977,0.022390479754056197,0.9579999999999999,0.9359999999999999,0.025999999999999992,0.034409301068170486
Hostility,16,SVM-rbf,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11,f16,f1,f15",0.9689999999999998,0.009433981132056611,0.9689849717119035,0.009438870756225978,0.9759999999999998,0.9620000000000001,0.023323807579381222,0.020880613017821098
Hostility,16,RandomForest,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11,f16,f1,f15",0.953,0.0179164728671689,0.9529560494120297,0.0179332894811152,0.9620000000000001,0.9440000000000002,0.03155946767611899,0.03322649545167229
