,Hostility_importances,N1_importances,kDN_importances,Hostility_importances_norm,N1_importances_norm,kDN_importances_norm,count_vars
f60,0.25099999999999995,0.7265488095238095,0.5952,0.0011106194690265485,0.003214817741255794,0.0026336283185840704,226.0
f61,,,,,,,
f62,0.033999999999999975,0.15499166666666675,0.1893999999999998,0.0001770833333333332,0.0008072482638888894,0.0009864583333333322,192.0
f63,0.30700000000000016,0.2923349206349205,0.27780000000000005,0.0010302013422818798,0.000980989666560136,0.0009322147651006713,298.0
f64,,,,,,,
f65,-0.11600000000000005,0.1407297619047616,0.07919999999999972,-0.0007682119205298017,0.0009319851781772292,0.0005245033112582763,151.0
f66,0.22699999999999987,0.11927499999999985,0.0593999999999999,0.0011349999999999993,0.0005963749999999992,0.00029699999999999947,200.0
f67,,,,,,,
f68,0.3400000000000002,0.6550380952380952,0.6219999999999999,0.0022972972972972986,0.004425933075933076,0.004202702702702702,148.0
f69,0.20599999999999996,0.29682579365079387,0.2935999999999997,0.0008765957446808509,0.0012630884836203995,0.0012493617021276584,235.0
f7,0.24,0.24201309523809517,0.0494,0.0012903225806451613,0.0013011456733230922,0.0002655913978494624,186.0
f70,,,,,,,
f71,0.48600000000000015,0.42913690476190514,0.3752000000000005,0.0015235109717868344,0.0013452567547395146,0.0011761755485893432,319.0
f72,-0.242,0.08875476190476173,0.05179999999999996,-0.001704225352112676,0.0006250335345405755,0.0003647887323943659,142.0
f73,0.04300000000000001,0.028289285714285517,-0.00999999999999962,0.0002402234636871509,0.00015804070231444423,-5.586592178770738e-05,179.0
f74,,,,,,,
f75,0.044999999999999984,0.07534761904761927,0.04459999999999964,0.00016853932584269657,0.0002822008204030684,0.00016704119850187131,267.0
f76,-0.03699999999999998,-0.1467214285714285,-0.05979999999999991,-0.00015289256198347098,-0.0006062868949232583,-0.00024710743801652853,242.0
f77,0.022999999999999965,-0.02766666666666634,0.0009999999999999454,0.00012041884816753909,-0.00014485165794066147,5.235602094240552e-06,191.0
f78,,,,,,,
