dataset,subset,model,acc,gps,acc_class_0,acc_class_1
ArtificialDataset16,relief_top50,LogReg,0.742,0.4858514889776975,0.24363636363636362,0.9310344827586207
ArtificialDataset16,relief_top50,SVM-linear,0.759,0.39705315203955494,0.15272727272727274,0.9889655172413793
ArtificialDataset16,relief_top50,SVM-rbf,0.778,0.5344030019732797,0.2545454545454545,0.976551724137931
ArtificialDataset16,relief_top50,RandomForest,0.74,0.3000480216534,0.10545454545454545,0.9806896551724138
ArtificialDataset16,relief_top50,KNN,0.733,0.4444936434002913,0.2109090909090909,0.9310344827586207
ArtificialDataset16,relief_top50,NaiveBayes,0.69,0.5203648725009193,0.3563636363636364,0.8165517241379311
ArtificialDataset16,relief_top50,DecisionTree,0.643,0.4756607604998733,0.34545454545454546,0.7558620689655172
ArtificialDataset16,relief_top50,XGBoost,0.743,0.4934650838915047,0.2509090909090909,0.9296551724137931
ArtificialDataset16,xgb_top50,LogReg,0.732,0.45118839801262256,0.21818181818181817,0.926896551724138
ArtificialDataset16,xgb_top50,SVM-linear,0.733,0.15026115952222785,0.04363636363636364,0.9944827586206897
ArtificialDataset16,xgb_top50,SVM-rbf,0.774,0.48308510638297875,0.20727272727272728,0.9889655172413793
ArtificialDataset16,xgb_top50,RandomForest,0.733,0.19921521773820683,0.06181818181818182,0.9875862068965517
ArtificialDataset16,xgb_top50,KNN,0.745,0.5465546748011142,0.31636363636363635,0.9075862068965517
ArtificialDataset16,xgb_top50,NaiveBayes,0.679,0.5000378482902895,0.3381818181818182,0.8082758620689655
ArtificialDataset16,xgb_top50,DecisionTree,0.632,0.47160552167867764,0.3527272727272727,0.7379310344827587
ArtificialDataset16,xgb_top50,XGBoost,0.757,0.5265718013851464,0.2727272727272727,0.9406896551724138
ArtificialDataset16,complexity_Hostility_top50,LogReg,0.736,0.43536632144227083,0.2,0.9393103448275862
ArtificialDataset16,complexity_Hostility_top50,SVM-linear,0.726,0.04179190751445087,0.01090909090909091,0.9972413793103448
