dataset,fold,method,k,n_available_features,model,acc_test,gps_test
ArtificialDataset18c,1,relief,18,42,KNN,0.62,0.4231145935357492
ArtificialDataset18c,1,relief,19,42,SVM-rbf,0.69,0.27021494370522003
ArtificialDataset18c,1,relief,19,42,KNN,0.67,0.4606001463771652
ArtificialDataset18c,1,relief,20,42,SVM-rbf,0.69,0.27021494370522003
ArtificialDataset18c,1,relief,20,42,KNN,0.63,0.4021543985637343
ArtificialDataset18c,1,relief,21,42,SVM-rbf,0.71,0.34238262535931013
ArtificialDataset18c,1,relief,21,42,KNN,0.62,0.3952772073921971
ArtificialDataset18c,1,relief,22,42,SVM-rbf,0.71,0.34238262535931013
ArtificialDataset18c,1,relief,22,42,KNN,0.64,0.37662337662337664
ArtificialDataset18c,1,relief,23,42,SVM-rbf,0.71,0.34238262535931013
ArtificialDataset18c,1,relief,23,42,KNN,0.61,0.35685320356853206
ArtificialDataset18c,1,relief,24,42,SVM-rbf,0.7,0.33460076045627374
ArtificialDataset18c,1,relief,24,42,KNN,0.64,0.48387096774193555
ArtificialDataset18c,1,relief,25,42,SVM-rbf,0.69,0.3271469015413652
ArtificialDataset18c,1,relief,25,42,KNN,0.62,0.4878260869565217
ArtificialDataset18c,1,relief,26,42,SVM-rbf,0.68,0.32
ArtificialDataset18c,1,relief,26,42,KNN,0.64,0.5199999999999999
ArtificialDataset18c,1,relief,27,42,SVM-rbf,0.68,0.32
ArtificialDataset18c,1,relief,27,42,KNN,0.64,0.5351089588377724
ArtificialDataset18c,1,relief,28,42,SVM-rbf,0.68,0.2638700947225981
ArtificialDataset18c,1,relief,28,42,KNN,0.67,0.54421768707483
ArtificialDataset18c,1,relief,29,42,SVM-rbf,0.7,0.27685950413223137
ArtificialDataset18c,1,relief,29,42,KNN,0.69,0.5901513699942518
ArtificialDataset18c,1,relief,30,42,SVM-rbf,0.7,0.27685950413223137
ArtificialDataset18c,1,relief,30,42,KNN,0.67,0.5076820307281229
ArtificialDataset18c,1,relief,31,42,SVM-rbf,0.7,0.27685950413223137
ArtificialDataset18c,1,relief,31,42,KNN,0.64,0.48387096774193555
ArtificialDataset18c,1,relief,32,42,SVM-rbf,0.7,0.27685950413223137
ArtificialDataset18c,1,relief,32,42,KNN,0.71,0.6078842125309466
ArtificialDataset18c,1,relief,33,42,SVM-rbf,0.7,0.27685950413223137
ArtificialDataset18c,1,relief,33,42,KNN,0.69,0.5612307692307693
ArtificialDataset18c,1,relief,34,42,SVM-rbf,0.7,0.27685950413223137
ArtificialDataset18c,1,relief,34,42,KNN,0.67,0.5076820307281229
ArtificialDataset18c,1,relief,35,42,SVM-rbf,0.7,0.27685950413223137
ArtificialDataset18c,1,relief,35,42,KNN,0.69,0.5765195010888933
ArtificialDataset18c,1,relief,36,42,SVM-rbf,0.7,0.27685950413223137
ArtificialDataset18c,1,relief,36,42,KNN,0.73,0.6263507109004739
ArtificialDataset18c,1,relief,37,42,SVM-rbf,0.7,0.27685950413223137
ArtificialDataset18c,1,relief,37,42,KNN,0.72,0.6291390728476821
ArtificialDataset18c,1,relief,38,42,SVM-rbf,0.7,0.27685950413223137
ArtificialDataset18c,1,relief,38,42,KNN,0.73,0.6384149697303246
ArtificialDataset18c,1,relief,39,42,SVM-rbf,0.7,0.27685950413223137
ArtificialDataset18c,1,relief,39,42,KNN,0.69,0.5765195010888933
ArtificialDataset18c,1,relief,40,42,SVM-rbf,0.7,0.27685950413223137
ArtificialDataset18c,1,relief,40,42,KNN,0.69,0.5765195010888933
ArtificialDataset18c,1,relief,41,42,SVM-rbf,0.7,0.27685950413223137
ArtificialDataset18c,1,relief,41,42,KNN,0.72,0.6170212765957447
ArtificialDataset18c,1,relief,42,42,SVM-rbf,0.7,0.27685950413223137
ArtificialDataset18c,1,relief,42,42,KNN,0.71,0.6078842125309466
ArtificialDataset18c,1,rf,1,42,SVM-rbf,0.68,0.10965630114566284
ArtificialDataset18c,1,rf,1,42,KNN,0.68,0.4687499999999999
ArtificialDataset18c,1,rf,2,42,SVM-rbf,0.68,0.10965630114566284
ArtificialDataset18c,1,rf,2,42,KNN,0.66,0.5188679245283019
ArtificialDataset18c,1,rf,3,42,SVM-rbf,0.68,0.10965630114566284
ArtificialDataset18c,1,rf,3,42,KNN,0.65,0.4916201117318436
ArtificialDataset18c,1,rf,4,42,SVM-rbf,0.68,0.32
ArtificialDataset18c,1,rf,4,42,KNN,0.69,0.6023424428332403
ArtificialDataset18c,1,rf,5,42,SVM-rbf,0.67,0.25780463242698887
