dataset,fold,method,k,n_available_features,model,acc_test,gps_test
ArtificialDataset2,2,mutual_info,8,13,SVM-rbf,0.895,0.8948560879415961
ArtificialDataset2,2,mutual_info,8,13,KNN,0.865,0.8638629011104311
ArtificialDataset2,2,mutual_info,9,13,SVM-rbf,0.95,0.9499947362880304
ArtificialDataset2,2,mutual_info,9,13,KNN,0.895,0.8949266247379456
ArtificialDataset2,2,mutual_info,10,13,SVM-rbf,0.94,0.9399936163421639
ArtificialDataset2,2,mutual_info,10,13,KNN,0.92,0.9199913034025439
ArtificialDataset2,2,mutual_info,11,13,SVM-rbf,0.955,0.9549893954072948
ArtificialDataset2,2,mutual_info,11,13,KNN,0.945,0.9449869016432484
ArtificialDataset2,2,mutual_info,12,13,SVM-rbf,0.98,0.9799918334013884
ArtificialDataset2,2,mutual_info,12,13,KNN,0.95,0.9499947362880304
ArtificialDataset2,2,mutual_info,13,13,SVM-rbf,0.97,0.9699721390981322
ArtificialDataset2,2,mutual_info,13,13,KNN,0.955,0.9549422033498468
ArtificialDataset2,2,relief,1,13,SVM-rbf,0.59,0.5888851121685929
ArtificialDataset2,2,relief,1,13,KNN,0.565,0.5649807513606796
ArtificialDataset2,2,relief,2,13,SVM-rbf,0.72,0.7198443579766537
ArtificialDataset2,2,relief,2,13,KNN,0.7,0.6972318339100347
ArtificialDataset2,2,relief,3,13,SVM-rbf,0.805,0.8047028086218159
ArtificialDataset2,2,relief,3,13,KNN,0.76,0.7599684168969599
ArtificialDataset2,2,relief,4,13,SVM-rbf,0.86,0.8599999999999999
ArtificialDataset2,2,relief,4,13,KNN,0.855,0.8549957601099446
ArtificialDataset2,2,relief,5,13,SVM-rbf,0.89,0.8899505395683454
ArtificialDataset2,2,relief,5,13,KNN,0.88,0.8798771470822431
ArtificialDataset2,2,relief,6,13,SVM-rbf,0.92,0.9199913034025439
ArtificialDataset2,2,relief,6,13,KNN,0.93,0.9299698795180722
ArtificialDataset2,2,relief,7,13,SVM-rbf,0.945,0.9449286111626183
ArtificialDataset2,2,relief,7,13,KNN,0.915,0.9148114680029573
ArtificialDataset2,2,relief,8,13,SVM-rbf,0.96,0.9599624648107601
ArtificialDataset2,2,relief,8,13,KNN,0.93,0.9298113207547171
ArtificialDataset2,2,relief,9,13,SVM-rbf,0.955,0.9549043783939769
ArtificialDataset2,2,relief,9,13,KNN,0.955,0.9549422033498468
ArtificialDataset2,2,relief,10,13,SVM-rbf,0.99,0.9899989897969492
ArtificialDataset2,2,relief,10,13,KNN,0.98,0.98
ArtificialDataset2,2,relief,11,13,SVM-rbf,0.985,0.9849965728212028
ArtificialDataset2,2,relief,11,13,KNN,0.97,0.9699969068976182
ArtificialDataset2,2,relief,12,13,SVM-rbf,0.98,0.9799918334013884
ArtificialDataset2,2,relief,12,13,KNN,0.95,0.9499947362880304
ArtificialDataset2,2,relief,13,13,SVM-rbf,0.97,0.9699721390981322
ArtificialDataset2,2,relief,13,13,KNN,0.955,0.9549422033498468
ArtificialDataset2,2,rf,1,13,SVM-rbf,0.59,0.5888851121685929
ArtificialDataset2,2,rf,1,13,KNN,0.565,0.5649807513606796
ArtificialDataset2,2,rf,2,13,SVM-rbf,0.72,0.7198443579766537
ArtificialDataset2,2,rf,2,13,KNN,0.7,0.6972318339100347
ArtificialDataset2,2,rf,3,13,SVM-rbf,0.805,0.8047028086218159
ArtificialDataset2,2,rf,3,13,KNN,0.76,0.7599684168969599
ArtificialDataset2,2,rf,4,13,SVM-rbf,0.86,0.8599999999999999
ArtificialDataset2,2,rf,4,13,KNN,0.855,0.8549957601099446
ArtificialDataset2,2,rf,5,13,SVM-rbf,0.91,0.91
ArtificialDataset2,2,rf,5,13,KNN,0.91,0.9099901088031651
ArtificialDataset2,2,rf,6,13,SVM-rbf,0.92,0.9199913034025439
ArtificialDataset2,2,rf,6,13,KNN,0.93,0.9299698795180722
ArtificialDataset2,2,rf,7,13,SVM-rbf,0.95,0.9499947362880304
ArtificialDataset2,2,rf,7,13,KNN,0.945,0.9449869016432484
ArtificialDataset2,2,rf,8,13,SVM-rbf,0.975,0.9749942294375625
ArtificialDataset2,2,rf,8,13,KNN,0.95,0.9499947362880304
ArtificialDataset2,2,rf,9,13,SVM-rbf,0.955,0.9549043783939769
ArtificialDataset2,2,rf,9,13,KNN,0.955,0.9549422033498468
ArtificialDataset2,2,rf,10,13,SVM-rbf,0.965,0.9649555134756556
ArtificialDataset2,2,rf,10,13,KNN,0.945,0.9449286111626183
ArtificialDataset2,2,rf,11,13,SVM-rbf,0.985,0.9849965728212028
ArtificialDataset2,2,rf,11,13,KNN,0.97,0.9699969068976182
ArtificialDataset2,2,rf,12,13,SVM-rbf,0.98,0.9799918334013884
ArtificialDataset2,2,rf,12,13,KNN,0.95,0.9499947362880304
ArtificialDataset2,2,rf,13,13,SVM-rbf,0.97,0.9699721390981322
ArtificialDataset2,2,rf,13,13,KNN,0.955,0.9549422033498468
ArtificialDataset2,3,f_classif,1,13,SVM-rbf,0.67,0.6682172869147659
ArtificialDataset2,3,f_classif,1,13,KNN,0.59,0.5893736207774573
ArtificialDataset2,3,f_classif,2,13,SVM-rbf,0.69,0.6870977179637215
ArtificialDataset2,3,f_classif,2,13,KNN,0.675,0.6749879625171303
ArtificialDataset2,3,f_classif,3,13,SVM-rbf,0.785,0.7848286852589642
ArtificialDataset2,3,f_classif,3,13,KNN,0.785,0.7838365726361626
ArtificialDataset2,3,f_classif,4,13,SVM-rbf,0.78,0.7799717912552891
ArtificialDataset2,3,f_classif,4,13,KNN,0.765,0.7640670625676695
ArtificialDataset2,3,f_classif,5,13,SVM-rbf,0.77,0.7698804573804573
ArtificialDataset2,3,f_classif,5,13,KNN,0.745,0.7445800141171726
ArtificialDataset2,3,f_classif,6,13,SVM-rbf,0.78,0.776533402786821
ArtificialDataset2,3,f_classif,6,13,KNN,0.825,0.8243559718969555
ArtificialDataset2,3,f_classif,7,13,SVM-rbf,0.855,0.8546557636507518
ArtificialDataset2,3,f_classif,7,13,KNN,0.84,0.8393113342898135
ArtificialDataset2,3,f_classif,8,13,SVM-rbf,0.835,0.8344000721175516
ArtificialDataset2,3,f_classif,8,13,KNN,0.79,0.7878245299910474
ArtificialDataset2,3,f_classif,9,13,SVM-rbf,0.88,0.8796581196581198
ArtificialDataset2,3,f_classif,9,13,KNN,0.83,0.829671656204732
ArtificialDataset2,3,f_classif,10,13,SVM-rbf,0.89,0.8896901408450703
ArtificialDataset2,3,f_classif,10,13,KNN,0.85,0.8491302804401847
ArtificialDataset2,3,f_classif,11,13,SVM-rbf,0.91,0.9099901088031651
ArtificialDataset2,3,f_classif,11,13,KNN,0.85,0.8499823508648077
ArtificialDataset2,3,f_classif,12,13,SVM-rbf,0.925,0.924997972918187
ArtificialDataset2,3,f_classif,12,13,KNN,0.88,0.88
ArtificialDataset2,3,f_classif,13,13,SVM-rbf,0.965,0.9649990932407574
ArtificialDataset2,3,f_classif,13,13,KNN,0.93,0.929932192444301
ArtificialDataset2,3,mutual_info,1,13,SVM-rbf,0.65,0.6433610283743534
ArtificialDataset2,3,mutual_info,1,13,KNN,0.535,0.5344561403508772
ArtificialDataset2,3,mutual_info,2,13,SVM-rbf,0.625,0.6237810506039568
ArtificialDataset2,3,mutual_info,2,13,KNN,0.6,0.59993332222037
ArtificialDataset2,3,mutual_info,3,13,SVM-rbf,0.62,0.6190168175937905
ArtificialDataset2,3,mutual_info,3,13,KNN,0.605,0.6049836770114467
ArtificialDataset2,3,mutual_info,4,13,SVM-rbf,0.73,0.7290721649484535
ArtificialDataset2,3,mutual_info,4,13,KNN,0.68,0.6761422830778389
ArtificialDataset2,3,mutual_info,5,13,SVM-rbf,0.79,0.7897604866303385
ArtificialDataset2,3,mutual_info,5,13,KNN,0.74,0.7371225577264652
ArtificialDataset2,3,mutual_info,6,13,SVM-rbf,0.83,0.8299795156042896
ArtificialDataset2,3,mutual_info,6,13,KNN,0.79,0.7890386571719228
ArtificialDataset2,3,mutual_info,7,13,SVM-rbf,0.82,0.8198022219509218
ArtificialDataset2,3,mutual_info,7,13,KNN,0.785,0.7834482758620689
ArtificialDataset2,3,mutual_info,8,13,SVM-rbf,0.82,0.8194495412844036
ArtificialDataset2,3,mutual_info,8,13,KNN,0.81,0.8088436219103218
ArtificialDataset2,3,mutual_info,9,13,SVM-rbf,0.905,0.9044058373870744
ArtificialDataset2,3,mutual_info,9,13,KNN,0.85,0.8482142857142857
ArtificialDataset2,3,mutual_info,10,13,SVM-rbf,0.93,0.9298113207547171
ArtificialDataset2,3,mutual_info,10,13,KNN,0.91,0.9099604221635885
ArtificialDataset2,3,mutual_info,11,13,SVM-rbf,0.94,0.9398976982097187
ArtificialDataset2,3,mutual_info,11,13,KNN,0.925,0.924949290060852
ArtificialDataset2,3,mutual_info,12,13,SVM-rbf,0.97,0.9699969068976182
ArtificialDataset2,3,mutual_info,12,13,KNN,0.94,0.9399424981365136
ArtificialDataset2,3,mutual_info,13,13,SVM-rbf,0.965,0.9649990932407574
ArtificialDataset2,3,mutual_info,13,13,KNN,0.93,0.929932192444301
ArtificialDataset2,3,relief,1,13,SVM-rbf,0.65,0.6433610283743534
ArtificialDataset2,3,relief,1,13,KNN,0.535,0.5344561403508772
ArtificialDataset2,3,relief,2,13,SVM-rbf,0.725,0.7222318971822648
ArtificialDataset2,3,relief,2,13,KNN,0.725,0.7233880198397558
ArtificialDataset2,3,relief,3,13,SVM-rbf,0.805,0.8032339945473348
ArtificialDataset2,3,relief,3,13,KNN,0.755,0.7546018374183278
ArtificialDataset2,3,relief,4,13,SVM-rbf,0.81,0.8059513302231749
ArtificialDataset2,3,relief,4,13,KNN,0.815,0.8124630741005628
ArtificialDataset2,3,relief,5,13,SVM-rbf,0.9,0.8994525751312703
ArtificialDataset2,3,relief,5,13,KNN,0.855,0.8540397350993376
ArtificialDataset2,3,relief,6,13,SVM-rbf,0.91,0.9097520661157026
ArtificialDataset2,3,relief,6,13,KNN,0.865,0.8629039358985648
ArtificialDataset2,3,relief,7,13,SVM-rbf,0.935,0.9348589190492779
ArtificialDataset2,3,relief,7,13,KNN,0.905,0.9044058373870744
ArtificialDataset2,3,relief,8,13,SVM-rbf,0.945,0.9448818897637796
ArtificialDataset2,3,relief,8,13,KNN,0.93,0.9298113207547171
ArtificialDataset2,3,relief,9,13,SVM-rbf,0.945,0.9449869016432484
ArtificialDataset2,3,relief,9,13,KNN,0.905,0.9046813936084702
ArtificialDataset2,3,relief,10,13,SVM-rbf,0.955,0.9549988219586899
ArtificialDataset2,3,relief,10,13,KNN,0.92,0.9198606271777002
ArtificialDataset2,3,relief,11,13,SVM-rbf,0.97,0.9699969068976182
ArtificialDataset2,3,relief,11,13,KNN,0.93,0.9299698795180722
ArtificialDataset2,3,relief,12,13,SVM-rbf,0.97,0.9699969068976182
ArtificialDataset2,3,relief,12,13,KNN,0.94,0.9399424981365136
ArtificialDataset2,3,relief,13,13,SVM-rbf,0.965,0.9649990932407574
ArtificialDataset2,3,relief,13,13,KNN,0.93,0.929932192444301
ArtificialDataset2,3,rf,1,13,SVM-rbf,0.67,0.6682172869147659
ArtificialDataset2,3,rf,1,13,KNN,0.59,0.5893736207774573
ArtificialDataset2,3,rf,2,13,SVM-rbf,0.725,0.7222318971822648
ArtificialDataset2,3,rf,2,13,KNN,0.725,0.7233880198397558
ArtificialDataset2,3,rf,3,13,SVM-rbf,0.785,0.7848286852589642
ArtificialDataset2,3,rf,3,13,KNN,0.785,0.7838365726361626
ArtificialDataset2,3,rf,4,13,SVM-rbf,0.795,0.7948387096774194
ArtificialDataset2,3,rf,4,13,KNN,0.75,0.7483559253791437
ArtificialDataset2,3,rf,5,13,SVM-rbf,0.9,0.8994525751312703
ArtificialDataset2,3,rf,5,13,KNN,0.855,0.8540397350993376
ArtificialDataset2,3,rf,6,13,SVM-rbf,0.91,0.9097520661157026
ArtificialDataset2,3,rf,6,13,KNN,0.865,0.8629039358985648
ArtificialDataset2,3,rf,7,13,SVM-rbf,0.935,0.9348589190492779
ArtificialDataset2,3,rf,7,13,KNN,0.905,0.9044058373870744
ArtificialDataset2,3,rf,8,13,SVM-rbf,0.94,0.93984
ArtificialDataset2,3,rf,8,13,KNN,0.905,0.904235471025591
ArtificialDataset2,3,rf,9,13,SVM-rbf,0.93,0.9299698795180722
ArtificialDataset2,3,rf,9,13,KNN,0.91,0.9097520661157026
ArtificialDataset2,3,rf,10,13,SVM-rbf,0.96,0.9599332220367279
ArtificialDataset2,3,rf,10,13,KNN,0.925,0.9248354505810017
ArtificialDataset2,3,rf,11,13,SVM-rbf,0.97,0.9699969068976182
ArtificialDataset2,3,rf,11,13,KNN,0.93,0.9299698795180722
ArtificialDataset2,3,rf,12,13,SVM-rbf,0.97,0.9699969068976182
ArtificialDataset2,3,rf,12,13,KNN,0.94,0.9399424981365136
ArtificialDataset2,3,rf,13,13,SVM-rbf,0.965,0.9649990932407574
ArtificialDataset2,3,rf,13,13,KNN,0.93,0.929932192444301
ArtificialDataset2,4,f_classif,1,13,SVM-rbf,0.58,0.5726315789473684
ArtificialDataset2,4,f_classif,1,13,KNN,0.57,0.5681057268722466
ArtificialDataset2,4,f_classif,2,13,SVM-rbf,0.735,0.7329562982005141
ArtificialDataset2,4,f_classif,2,13,KNN,0.68,0.6799529342550376
ArtificialDataset2,4,f_classif,3,13,SVM-rbf,0.8,0.7997747465899137
ArtificialDataset2,4,f_classif,3,13,KNN,0.76,0.7599684168969599
ArtificialDataset2,4,f_classif,4,13,SVM-rbf,0.8,0.7997747465899137
ArtificialDataset2,4,f_classif,4,13,KNN,0.745,0.7447858942065492
ArtificialDataset2,4,f_classif,5,13,SVM-rbf,0.8,0.7998999499749875
ArtificialDataset2,4,f_classif,5,13,KNN,0.76,0.7599684168969599
ArtificialDataset2,4,f_classif,6,13,SVM-rbf,0.835,0.8348764044943818
ArtificialDataset2,4,f_classif,6,13,KNN,0.815,0.8145391924720933
ArtificialDataset2,4,f_classif,7,13,SVM-rbf,0.87,0.8699850557535348
ArtificialDataset2,4,f_classif,7,13,KNN,0.845,0.844995414065505
ArtificialDataset2,4,f_classif,8,13,SVM-rbf,0.885,0.8849967513206588
ArtificialDataset2,4,f_classif,8,13,KNN,0.84,0.839828387558098
ArtificialDataset2,4,f_classif,9,13,SVM-rbf,0.875,0.8749678488754252
ArtificialDataset2,4,f_classif,9,13,KNN,0.87,0.87
ArtificialDataset2,4,f_classif,10,13,SVM-rbf,0.925,0.924949290060852
ArtificialDataset2,4,f_classif,10,13,KNN,0.915,0.9149419002050583
ArtificialDataset2,4,f_classif,11,13,SVM-rbf,0.94,0.9399744572158366
ArtificialDataset2,4,f_classif,11,13,KNN,0.91,0.9098414795244386
ArtificialDataset2,4,f_classif,12,13,SVM-rbf,0.955,0.9549988219586899
ArtificialDataset2,4,f_classif,12,13,KNN,0.945,0.9449985449350512
ArtificialDataset2,4,f_classif,13,13,SVM-rbf,0.945,0.9449869016432484
ArtificialDataset2,4,f_classif,13,13,KNN,0.92,0.9199216624959199
ArtificialDataset2,4,mutual_info,1,13,SVM-rbf,0.68,0.6792452830188679
ArtificialDataset2,4,mutual_info,1,13,KNN,0.55,0.5496724890829695
ArtificialDataset2,4,mutual_info,2,13,SVM-rbf,0.675,0.674698795180723
ArtificialDataset2,4,mutual_info,2,13,KNN,0.7,0.7
ArtificialDataset2,4,mutual_info,3,13,SVM-rbf,0.8,0.7997747465899137
ArtificialDataset2,4,mutual_info,3,13,KNN,0.76,0.7599684168969599
ArtificialDataset2,4,mutual_info,4,13,SVM-rbf,0.8,0.7997747465899137
ArtificialDataset2,4,mutual_info,4,13,KNN,0.745,0.7447858942065492
ArtificialDataset2,4,mutual_info,5,13,SVM-rbf,0.85,0.8499293785310735
ArtificialDataset2,4,mutual_info,5,13,KNN,0.805,0.8045082350010897
ArtificialDataset2,4,mutual_info,6,13,SVM-rbf,0.885,0.8849707552767653
ArtificialDataset2,4,mutual_info,6,13,KNN,0.815,0.8140359532546022
ArtificialDataset2,4,mutual_info,7,13,SVM-rbf,0.89,0.8899876390605687
ArtificialDataset2,4,mutual_info,7,13,KNN,0.805,0.8042644720845412
ArtificialDataset2,4,mutual_info,8,13,SVM-rbf,0.915,0.9149419002050583
ArtificialDataset2,4,mutual_info,8,13,KNN,0.855,0.8544851668182752
