dataset,fold,method,k,n_available_features,model,acc_test,gps_test
sonar,4,f_classif,17,56,SVM-rbf,0.7804878048780488,0.7798165137614678
sonar,4,f_classif,17,56,KNN,0.7560975609756098,0.7543581616481776
sonar,4,f_classif,18,56,SVM-rbf,0.7560975609756098,0.7559055118110238
sonar,4,f_classif,18,56,KNN,0.7804878048780488,0.7798165137614678
sonar,4,f_classif,19,56,SVM-rbf,0.7560975609756098,0.7559055118110238
sonar,4,f_classif,19,56,KNN,0.8048780487804879,0.8047337278106509
sonar,4,f_classif,20,56,SVM-rbf,0.8048780487804879,0.8035714285714286
sonar,4,f_classif,20,56,KNN,0.7804878048780488,0.7798165137614678
sonar,4,f_classif,21,56,SVM-rbf,0.8292682926829268,0.8272859216255443
sonar,4,f_classif,21,56,KNN,0.8048780487804879,0.8035714285714286
sonar,4,f_classif,22,56,SVM-rbf,0.8292682926829268,0.8272859216255443
sonar,4,f_classif,22,56,KNN,0.8048780487804879,0.8035714285714286
sonar,4,f_classif,23,56,SVM-rbf,0.8292682926829268,0.8272859216255443
sonar,4,f_classif,23,56,KNN,0.8780487804878049,0.8767123287671235
sonar,4,f_classif,24,56,SVM-rbf,0.8292682926829268,0.8272859216255443
sonar,4,f_classif,24,56,KNN,0.8780487804878049,0.8767123287671235
sonar,4,f_classif,25,56,SVM-rbf,0.8536585365853658,0.8510638297872339
sonar,4,f_classif,25,56,KNN,0.8780487804878049,0.8767123287671235
sonar,4,f_classif,26,56,SVM-rbf,0.8292682926829268,0.8272859216255443
sonar,4,f_classif,26,56,KNN,0.9024390243902439,0.8991825613079019
sonar,4,f_classif,27,56,SVM-rbf,0.8292682926829268,0.8272859216255443
sonar,4,f_classif,27,56,KNN,0.8292682926829268,0.824742268041237
sonar,4,f_classif,28,56,SVM-rbf,0.8292682926829268,0.8272859216255443
sonar,4,f_classif,28,56,KNN,0.8536585365853658,0.8510638297872339
sonar,4,f_classif,29,56,SVM-rbf,0.8292682926829268,0.8272859216255443
sonar,4,f_classif,29,56,KNN,0.8780487804878049,0.8767123287671235
sonar,4,f_classif,30,56,SVM-rbf,0.8048780487804879,0.8035714285714286
sonar,4,f_classif,30,56,KNN,0.8780487804878049,0.8767123287671235
sonar,4,f_classif,31,56,SVM-rbf,0.8536585365853658,0.85273492286115
sonar,4,f_classif,31,56,KNN,0.8536585365853658,0.8510638297872339
sonar,4,f_classif,32,56,SVM-rbf,0.8292682926829268,0.8287769784172663
sonar,4,f_classif,32,56,KNN,0.8780487804878049,0.8767123287671235
sonar,4,f_classif,33,56,SVM-rbf,0.8292682926829268,0.8287769784172663
sonar,4,f_classif,33,56,KNN,0.8780487804878049,0.8767123287671235
sonar,4,f_classif,34,56,SVM-rbf,0.8292682926829268,0.8287769784172663
sonar,4,f_classif,34,56,KNN,0.8780487804878049,0.8767123287671235
sonar,4,f_classif,35,56,SVM-rbf,0.8536585365853658,0.85273492286115
sonar,4,f_classif,35,56,KNN,0.8536585365853658,0.8510638297872339
sonar,4,f_classif,36,56,SVM-rbf,0.8780487804878049,0.8777173913043478
sonar,4,f_classif,36,56,KNN,0.8536585365853658,0.8510638297872339
sonar,4,f_classif,37,56,SVM-rbf,0.8292682926829268,0.8287769784172663
sonar,4,f_classif,37,56,KNN,0.8536585365853658,0.8510638297872339
sonar,4,f_classif,38,56,SVM-rbf,0.8292682926829268,0.8287769784172663
sonar,4,f_classif,38,56,KNN,0.8536585365853658,0.8484848484848485
sonar,4,f_classif,39,56,SVM-rbf,0.8292682926829268,0.8287769784172663
sonar,4,f_classif,39,56,KNN,0.8536585365853658,0.8484848484848485
sonar,4,f_classif,40,56,SVM-rbf,0.8536585365853658,0.85273492286115
sonar,4,f_classif,40,56,KNN,0.8292682926829268,0.824742268041237
sonar,4,f_classif,41,56,SVM-rbf,0.8536585365853658,0.85273492286115
sonar,4,f_classif,41,56,KNN,0.8292682926829268,0.824742268041237
sonar,4,f_classif,42,56,SVM-rbf,0.8536585365853658,0.85273492286115
sonar,4,f_classif,42,56,KNN,0.8536585365853658,0.8510638297872339
sonar,4,f_classif,43,56,SVM-rbf,0.8536585365853658,0.85273492286115
sonar,4,f_classif,43,56,KNN,0.8536585365853658,0.8510638297872339
sonar,4,f_classif,44,56,SVM-rbf,0.8536585365853658,0.85273492286115
sonar,4,f_classif,44,56,KNN,0.8536585365853658,0.8510638297872339
sonar,4,f_classif,45,56,SVM-rbf,0.8536585365853658,0.85273492286115
sonar,4,f_classif,45,56,KNN,0.8780487804878049,0.875
sonar,4,f_classif,46,56,SVM-rbf,0.8536585365853658,0.85273492286115
sonar,4,f_classif,46,56,KNN,0.8780487804878049,0.875
sonar,4,f_classif,47,56,SVM-rbf,0.8536585365853658,0.85273492286115
sonar,4,f_classif,47,56,KNN,0.8536585365853658,0.8484848484848485
sonar,4,f_classif,48,56,SVM-rbf,0.8536585365853658,0.85273492286115
sonar,4,f_classif,48,56,KNN,0.8536585365853658,0.8484848484848485
sonar,4,f_classif,49,56,SVM-rbf,0.8536585365853658,0.85273492286115
sonar,4,f_classif,49,56,KNN,0.8780487804878049,0.8725212464589235
sonar,4,f_classif,50,56,SVM-rbf,0.8536585365853658,0.85273492286115
sonar,4,f_classif,50,56,KNN,0.8780487804878049,0.8725212464589235
sonar,4,f_classif,51,56,SVM-rbf,0.8536585365853658,0.85273492286115
sonar,4,f_classif,51,56,KNN,0.9024390243902439,0.8991825613079019
sonar,4,f_classif,52,56,SVM-rbf,0.8536585365853658,0.85273492286115
sonar,4,f_classif,52,56,KNN,0.9024390243902439,0.8991825613079019
sonar,4,f_classif,53,56,SVM-rbf,0.8780487804878049,0.8777173913043478
sonar,4,f_classif,53,56,KNN,0.926829268292683,0.9250985545335086
sonar,4,f_classif,54,56,SVM-rbf,0.8780487804878049,0.8777173913043478
sonar,4,f_classif,54,56,KNN,0.9024390243902439,0.8991825613079019
sonar,4,f_classif,55,56,SVM-rbf,0.8780487804878049,0.8777173913043478
sonar,4,f_classif,55,56,KNN,0.9024390243902439,0.8991825613079019
sonar,4,f_classif,56,56,SVM-rbf,0.8536585365853658,0.8535564853556485
sonar,4,f_classif,56,56,KNN,0.9024390243902439,0.8991825613079019
sonar,4,mutual_info,1,56,SVM-rbf,0.7073170731707317,0.7010309278350516
sonar,4,mutual_info,1,56,KNN,0.7317073170731707,0.728171334431631
sonar,4,mutual_info,2,56,SVM-rbf,0.6829268292682927,0.6829268292682926
sonar,4,mutual_info,2,56,KNN,0.7317073170731707,0.728171334431631
sonar,4,mutual_info,3,56,SVM-rbf,0.6829268292682927,0.6829268292682926
sonar,4,mutual_info,3,56,KNN,0.6585365853658537,0.6427221172022685
sonar,4,mutual_info,4,56,SVM-rbf,0.7804878048780488,0.7777777777777778
sonar,4,mutual_info,4,56,KNN,0.8292682926829268,0.824742268041237
sonar,4,mutual_info,5,56,SVM-rbf,0.7560975609756098,0.7543581616481776
sonar,4,mutual_info,5,56,KNN,0.7560975609756098,0.7512038523274478
sonar,4,mutual_info,6,56,SVM-rbf,0.7804878048780488,0.7777777777777778
sonar,4,mutual_info,6,56,KNN,0.8048780487804879,0.8012048192771084
sonar,4,mutual_info,7,56,SVM-rbf,0.8048780487804879,0.8035714285714286
sonar,4,mutual_info,7,56,KNN,0.8292682926829268,0.8287769784172663
sonar,4,mutual_info,8,56,SVM-rbf,0.8048780487804879,0.8012048192771084
sonar,4,mutual_info,8,56,KNN,0.8292682926829268,0.824742268041237
sonar,4,mutual_info,9,56,SVM-rbf,0.7804878048780488,0.774294670846395
sonar,4,mutual_info,9,56,KNN,0.7804878048780488,0.7692307692307693
sonar,4,mutual_info,10,56,SVM-rbf,0.8780487804878049,0.8767123287671235
sonar,4,mutual_info,10,56,KNN,0.8292682926829268,0.8210526315789474
sonar,4,mutual_info,11,56,SVM-rbf,0.8536585365853658,0.8510638297872339
sonar,4,mutual_info,11,56,KNN,0.8536585365853658,0.8510638297872339
sonar,4,mutual_info,12,56,SVM-rbf,0.8292682926829268,0.8272859216255443
sonar,4,mutual_info,12,56,KNN,0.8292682926829268,0.8272859216255443
sonar,4,mutual_info,13,56,SVM-rbf,0.8048780487804879,0.8035714285714286
sonar,4,mutual_info,13,56,KNN,0.8048780487804879,0.8012048192771084
sonar,4,mutual_info,14,56,SVM-rbf,0.7560975609756098,0.7543581616481776
sonar,4,mutual_info,14,56,KNN,0.7560975609756098,0.7512038523274478
sonar,4,mutual_info,15,56,SVM-rbf,0.7560975609756098,0.7543581616481776
sonar,4,mutual_info,15,56,KNN,0.7560975609756098,0.7543581616481776
sonar,4,mutual_info,16,56,SVM-rbf,0.7804878048780488,0.7777777777777778
sonar,4,mutual_info,16,56,KNN,0.8048780487804879,0.8047337278106509
sonar,4,mutual_info,17,56,SVM-rbf,0.8048780487804879,0.8012048192771084
sonar,4,mutual_info,17,56,KNN,0.8048780487804879,0.8047337278106509
sonar,4,mutual_info,18,56,SVM-rbf,0.8048780487804879,0.8012048192771084
sonar,4,mutual_info,18,56,KNN,0.8292682926829268,0.8287769784172663
sonar,4,mutual_info,19,56,SVM-rbf,0.8048780487804879,0.8012048192771084
sonar,4,mutual_info,19,56,KNN,0.8292682926829268,0.8287769784172663
sonar,4,mutual_info,20,56,SVM-rbf,0.8292682926829268,0.8272859216255443
sonar,4,mutual_info,20,56,KNN,0.8048780487804879,0.8035714285714286
sonar,4,mutual_info,21,56,SVM-rbf,0.8292682926829268,0.8272859216255443
sonar,4,mutual_info,21,56,KNN,0.8048780487804879,0.8035714285714286
sonar,4,mutual_info,22,56,SVM-rbf,0.8292682926829268,0.8272859216255443
