fold,model,measure,corr_type,n_features,features,acc_train,gps_train,acc_test,gps_test,complexity_all_kDN,complexity_all_N1,complexity_all_Hostility,complexity_sel_kDN,complexity_sel_N1,complexity_sel_Hostility,corr_th
3,SVM-rbf,N1,pearson,9,"['p1_polar', 'p1_size', 'p1_flex', 'p1_pi_doner', 'p2_size', 'p2_h_acceptor', 'p3_polar', 'p3_pi_acceptor', 'p3_polarisable']",0.9491525423728814,0.9468354430379746,0.8,0.7804878048780488,,,,0.22033898305084745,0.21327683615819207,0.2711864406779661,0.7
3,KNN,N1,pearson,9,"['p1_polar', 'p1_size', 'p1_flex', 'p1_pi_doner', 'p2_size', 'p2_h_acceptor', 'p3_polar', 'p3_pi_acceptor', 'p3_polarisable']",0.8813559322033898,0.8755129958960329,0.8666666666666667,0.8470588235294118,,,,0.22033898305084745,0.21327683615819207,0.2711864406779661,0.7
3,SVM-rbf,N1,spearman,9,"['p1_polar', 'p1_size', 'p1_flex', 'p1_sigma', 'p2_size', 'p2_h_acceptor', 'p3_polar', 'p3_pi_acceptor', 'p3_polarisable']",0.8983050847457628,0.8966861598440545,0.9333333333333333,0.9278350515463919,,,,0.23728813559322035,0.2683615819209039,0.1694915254237288,0.7
3,KNN,N1,spearman,9,"['p1_polar', 'p1_size', 'p1_flex', 'p1_sigma', 'p2_size', 'p2_h_acceptor', 'p3_polar', 'p3_pi_acceptor', 'p3_polarisable']",0.8305084745762712,0.8199853049228508,0.8666666666666667,0.8470588235294118,,,,0.23728813559322035,0.2683615819209039,0.1694915254237288,0.7
3,SVM-rbf,Hostility,pearson,16,"['p1_polar', 'p1_size', 'p1_flex', 'p1_h_doner', 'p1_h_acceptor', 'p1_pi_acceptor', 'p1_polarisable', 'p2_polar', 'p2_size', 'p2_flex', 'p2_h_doner', 'p2_pi_acceptor', 'p3_polar', 'p3_flex', 'p3_h_doner', 'p3_h_acceptor']",0.9661016949152542,0.9648365206662554,0.8666666666666667,0.8602150537634408,,,,0.23728813559322032,0.19745762711864404,0.1694915254237288,0.7
3,KNN,Hostility,pearson,16,"['p1_polar', 'p1_size', 'p1_flex', 'p1_h_doner', 'p1_h_acceptor', 'p1_pi_acceptor', 'p1_polarisable', 'p2_polar', 'p2_size', 'p2_flex', 'p2_h_doner', 'p2_pi_acceptor', 'p3_polar', 'p3_flex', 'p3_h_doner', 'p3_h_acceptor']",0.8305084745762712,0.8199853049228508,0.8,0.7804878048780488,,,,0.23728813559322032,0.19745762711864404,0.1694915254237288,0.7
3,SVM-rbf,Hostility,spearman,13,"['p1_polar', 'p1_size', 'p1_flex', 'p1_h_doner', 'p1_pi_doner', 'p1_polarisable', 'p2_polar', 'p2_flex', 'p2_h_doner', 'p2_h_acceptor', 'p3_polar', 'p3_h_acceptor', 'p3_polarisable']",0.9491525423728814,0.9468354430379746,0.9333333333333333,0.9278350515463919,,,,0.23050847457627122,0.2242937853107345,0.11864406779661017,0.7
3,KNN,Hostility,spearman,13,"['p1_polar', 'p1_size', 'p1_flex', 'p1_h_doner', 'p1_pi_doner', 'p1_polarisable', 'p2_polar', 'p2_flex', 'p2_h_doner', 'p2_h_acceptor', 'p3_polar', 'p3_h_acceptor', 'p3_polarisable']",0.847457627118644,0.8366013071895425,0.8666666666666667,0.8470588235294118,,,,0.23050847457627122,0.2242937853107345,0.11864406779661017,0.7
4,SVM-rbf,ALL,none,27,"['p1_polar', 'p1_size', 'p1_flex', 'p1_h_doner', 'p1_h_acceptor', 'p1_pi_doner', 'p1_pi_acceptor', 'p1_polarisable', 'p1_sigma', 'p2_polar', 'p2_size', 'p2_flex', 'p2_h_doner', 'p2_h_acceptor', 'p2_pi_doner', 'p2_pi_acceptor', 'p2_polarisable', 'p2_sigma', 'p3_polar', 'p3_size', 'p3_flex', 'p3_h_doner', 'p3_h_acceptor', 'p3_pi_doner', 'p3_pi_acceptor', 'p3_polarisable', 'p3_sigma']",0.9491525423728814,0.9459459459459458,0.9333333333333333,0.9320388349514562,0.23389830508474577,0.21093623890234062,0.2033898305084746,,,,0.7
4,KNN,ALL,none,27,"['p1_polar', 'p1_size', 'p1_flex', 'p1_h_doner', 'p1_h_acceptor', 'p1_pi_doner', 'p1_pi_acceptor', 'p1_polarisable', 'p1_sigma', 'p2_polar', 'p2_size', 'p2_flex', 'p2_h_doner', 'p2_h_acceptor', 'p2_pi_doner', 'p2_pi_acceptor', 'p2_polarisable', 'p2_sigma', 'p3_polar', 'p3_size', 'p3_flex', 'p3_h_doner', 'p3_h_acceptor', 'p3_pi_doner', 'p3_pi_acceptor', 'p3_polarisable', 'p3_sigma']",0.8813559322033898,0.873259052924791,0.7333333333333333,0.7179487179487178,0.23389830508474577,0.21093623890234062,0.2033898305084746,,,,0.7
