dataset,subset,model,fold,n_features,acc_train,gps_train,acc_test,gps_test,Hostility,kDN,N1
ArtificialDataset18c,informative+noise,KNN,2,30,0.7475,0.6493014829696555,0.62,0.4231145935357492,0.315,0.43450000000000005,0.42678922466422464
ArtificialDataset18c,informative+noise,KNN,3,30,0.7575,0.659159698948174,0.63,0.40215439856373425,0.3025,0.41300000000000003,0.38211111111111107
ArtificialDataset18c,informative+noise,KNN,4,30,0.79,0.7035382416011438,0.55,0.3779844181955265,0.31,0.3985,0.38858531746031744
ArtificialDataset18c,informative+rand_extra,SVM-rbf,0,23,0.7925,0.673459509773503,0.72,0.4744525547445256,0.2825,0.4150000000000001,0.3730013528138528
ArtificialDataset18c,informative+rand_extra,SVM-rbf,1,23,0.815,0.7177026774012358,0.72,0.43999999999999995,0.2375,0.4075,0.36823448773448775
ArtificialDataset18c,informative+rand_extra,SVM-rbf,2,23,0.8025,0.688123378140719,0.73,0.44928751047778703,0.3025,0.41400000000000003,0.39809641053391054
ArtificialDataset18c,informative+rand_extra,SVM-rbf,3,23,0.805,0.6974121729073297,0.71,0.4310583033987289,0.27,0.3955,0.36417685786435783
ArtificialDataset18c,informative+rand_extra,SVM-rbf,4,23,0.81,0.7061715431244333,0.64,0.29411764705882354,0.2775,0.38,0.354922619047619
ArtificialDataset18c,informative+rand_extra,KNN,0,23,0.7775,0.6878742430564171,0.66,0.6063157894736841,0.2825,0.4150000000000001,0.3730013528138528
ArtificialDataset18c,informative+rand_extra,KNN,1,23,0.7675,0.672125311498754,0.64,0.40923076923076923,0.2375,0.4075,0.36823448773448775
ArtificialDataset18c,informative+rand_extra,KNN,2,23,0.78,0.711645101663586,0.72,0.6034618410700237,0.3025,0.41400000000000003,0.39809641053391054
ArtificialDataset18c,informative+rand_extra,KNN,3,23,0.7625,0.6611864030215506,0.63,0.40215439856373425,0.27,0.3955,0.36417685786435783
ArtificialDataset18c,informative+rand_extra,KNN,4,23,0.775,0.6879334257975034,0.6,0.3506493506493507,0.2775,0.38,0.354922619047619
