feature,kDN_importances,kDN_importances_norm,count_vars,kDN_removed_count,kDN_fixed_count,fold,model
f5,2.664999999999999,0.003390585241730279,786.0,0.0,94.0,3,KNN
f6,9.356250000000005,0.010854118329466363,862.0,0.0,166.0,3,KNN
f7,10.491750000000003,0.011342432432432437,925.0,0.0,158.0,3,KNN
f8,12.827250000000005,0.014659714285714292,875.0,0.0,173.0,3,KNN
f9,11.693499999999997,0.013518497109826586,865.0,0.0,181.0,3,KNN
f0,0.4652499999999995,0.003323214285714282,140.0,1.0,13.0,4,KNN
f1,0.12125,0.011022727272727273,11.0,1.0,1.0,4,KNN
f10,-0.010750000000000037,-0.005375000000000019,2.0,1.0,0.0,4,KNN
f11,-0.015250000000000041,-0.0038125000000000103,4.0,1.0,0.0,4,KNN
f12,,,,,,4,KNN
f13,,,,,,4,KNN
f14,0.15774999999999975,0.002464843749999996,64.0,1.0,7.0,4,KNN
f15,,,,,,4,KNN
f16,,,,,,4,KNN
f17,,,,,,4,KNN
f2,2.1285000000000016,0.007095000000000005,300.0,1.0,51.0,4,KNN
f3,-0.01550000000000007,-0.00516666666666669,3.0,1.0,0.0,4,KNN
f4,2.003749999999999,0.004433075221238935,452.0,1.0,67.0,4,KNN
f5,4.203750000000003,0.006293038922155693,668.0,0.0,137.0,4,KNN
f6,9.650999999999994,0.015566129032258055,620.0,0.0,137.0,4,KNN
f7,13.151499999999992,0.019171282798833806,686.0,0.0,162.0,4,KNN
f8,16.247250000000005,0.025707674050632918,632.0,0.0,176.0,4,KNN
f9,12.471000000000009,0.018952887537993936,658.0,0.0,162.0,4,KNN
f0,0.5902500000000002,0.010731818181818184,55.0,1.0,12.0,5,KNN
f1,9.496499999999992,0.013413135593220328,708.0,0.0,167.0,5,KNN
f10,-0.016000000000000014,-0.0020000000000000018,8.0,1.0,0.0,5,KNN
f11,-0.028000000000000025,-0.0046666666666666705,6.0,1.0,0.0,5,KNN
f12,,,,,,5,KNN
f13,,,,,,5,KNN
f14,3.948750000000002,0.005244023904382473,753.0,0.0,151.0,5,KNN
f15,,,,,,5,KNN
f16,,,,,,5,KNN
f17,,,,,,5,KNN
f2,0.1135000000000001,0.004934782608695657,23.0,1.0,2.0,5,KNN
f3,-0.008250000000000035,-0.00019186046511627988,43.0,1.0,1.0,5,KNN
f4,6.919000000000003,0.008736111111111115,792.0,0.0,142.0,5,KNN
f5,-0.006749999999999978,-0.00033749999999999893,20.0,1.0,0.0,5,KNN
f6,10.678999999999998,0.01394125326370757,766.0,0.0,158.0,5,KNN
f7,10.456500000000004,0.014054435483870973,744.0,0.0,154.0,5,KNN
f8,13.078249999999992,0.01600764993880048,817.0,0.0,167.0,5,KNN
f9,11.777250000000004,0.015415248691099481,764.0,0.0,175.0,5,KNN
