feature,Hostility_importances,N1_importances,kDN_importances,Hostility_importances_norm,N1_importances_norm,kDN_importances_norm,count_vars,Hostility_removed_count,N1_removed_count,kDN_removed_count,fold,model
f85,0.017500000000000016,0.0035138888888888165,-0.0018333333333332424,0.00018229166666666684,3.66030092592585e-05,-1.9097222222221277e-05,96.0,1.0,1.0,1.0,1,SVM-rbf
f86,0.0,-0.006319444444444378,-0.00033333333333340764,0.0,-0.0002872474747474717,-1.5151515151518529e-05,22.0,1.0,1.0,1.0,1,SVM-rbf
f87,,,,,,,,,,,1,SVM-rbf
f88,-0.0012499999999999734,-0.003265873015873,-0.004500000000000115,-6.944444444444297e-05,-0.0001814373897707222,-0.0002500000000000064,18.0,1.0,1.0,1.0,1,SVM-rbf
f89,,,,,,,,,,,1,SVM-rbf
f9,0.07624999999999993,0.5169226190476188,0.21175000000000005,0.0004077540106951868,0.00276429208046855,0.0011323529411764708,187.0,1.0,1.0,1.0,1,SVM-rbf
f90,-0.004999999999999949,-0.0006249999999999867,-8.333333333326864e-05,-0.00026315789473683944,-3.2894736842104564e-05,-4.385964912277297e-06,19.0,1.0,1.0,1.0,1,SVM-rbf
f91,,,,,,,,,,,1,SVM-rbf
f92,,,,,,,,,,,1,SVM-rbf
f93,-0.03374999999999995,-6.944444444456632e-05,0.01791666666666658,-0.00035156249999999944,-7.233796296308992e-07,0.00018663194444444356,96.0,1.0,1.0,1.0,1,SVM-rbf
f94,,,,,,,,,,,1,SVM-rbf
f95,0.005833333333333357,0.032689484126984136,0.0022499999999999742,0.00011666666666666714,0.0006537896825396828,4.499999999999949e-05,50.0,1.0,1.0,1.0,1,SVM-rbf
f96,,,,,,,,,,,1,SVM-rbf
f97,,,,,,,,,,,1,SVM-rbf
f98,0.03166666666666662,-0.00022222222222217924,0.0006666666666664822,0.0008796296296296283,-6.172839506171646e-06,1.8518518518513395e-05,36.0,1.0,1.0,1.0,1,SVM-rbf
f99,-0.013333333333333308,0.0016388888888888564,-0.0005833333333333801,-0.00035087719298245546,4.312865497075938e-05,-1.5350877192983687e-05,38.0,1.0,1.0,1.0,1,SVM-rbf
f0,0.0029166666666666785,0.011326388888888983,-0.016666666666666663,6.628787878787905e-05,0.0002574179292929314,-0.0003787878787878787,44.0,1.0,1.0,1.0,2,SVM-rbf
f1,0.1408333333333333,0.1659226190476189,0.07883333333333314,0.001173611111111111,0.0013826884920634908,0.0006569444444444429,120.0,1.0,1.0,1.0,2,SVM-rbf
f10,0.012916666666666632,0.01275545634920644,-0.0015000000000000013,0.0002870370370370363,0.00028345458553792087,-3.333333333333336e-05,45.0,1.0,1.0,1.0,2,SVM-rbf
f100,,,,,,,,,,,2,SVM-rbf
f101,0.054166666666666696,-0.0007847222222223116,-0.003916666666666735,0.0013888888888888896,-2.0121082621084913e-05,-0.00010042735042735218,39.0,1.0,1.0,1.0,2,SVM-rbf
f102,0.040416666666666656,0.00029861111111118,-0.0019166666666665666,0.000762578616352201,5.634171907758113e-06,-3.6163522012576725e-05,53.0,1.0,1.0,1.0,2,SVM-rbf
f103,,,,,,,,,,,2,SVM-rbf
f104,,,,,,,,,,,2,SVM-rbf
f105,,,,,,,,,,,2,SVM-rbf
f106,,,,,,,,,,,2,SVM-rbf
f107,,,,,,,,,,,2,SVM-rbf
f108,,,,,,,,,,,2,SVM-rbf
f109,,,,,,,,,,,2,SVM-rbf
f11,-0.014583333333333337,-0.03634027777777782,-0.0019999999999999463,-0.0005401234567901236,-0.001345936213991771,-7.407407407407208e-05,27.0,1.0,1.0,1.0,2,SVM-rbf
f110,,,,,,,,,,,2,SVM-rbf
