feature,kDN_importances,kDN_importances_norm,count_vars,kDN_removed_count,kDN_fixed_count,fold,model
V36,0.7856287425149704,0.002366351634081236,332.0,1.0,14.0,5,SVM-rbf
V37,9.63952095808383,0.010432381989268215,924.0,0.0,189.0,5,SVM-rbf
V38,0.015568862275449014,0.0005368573198430694,29.0,1.0,0.0,5,SVM-rbf
V39,0.2646706586826346,0.0014003738554636753,189.0,1.0,8.0,5,SVM-rbf
V4,0.5041916167664672,0.0014405474764756206,350.0,1.0,18.0,5,SVM-rbf
V40,0.17604790419161687,0.0006242833481972229,282.0,1.0,7.0,5,SVM-rbf
V41,0.0179640718562874,0.0002851439977188476,63.0,1.0,1.0,5,SVM-rbf
V42,-0.02275449101796398,-0.0006149862437287562,37.0,1.0,0.0,5,SVM-rbf
V43,0.13772455089820362,0.0010844452826630207,127.0,1.0,3.0,5,SVM-rbf
V44,0.5736526946107787,0.0014234558178927513,403.0,1.0,17.0,5,SVM-rbf
V45,0.05389221556886231,0.0006736526946107789,80.0,1.0,0.0,5,SVM-rbf
V46,0.5413173652694616,0.001804391217564872,300.0,1.0,17.0,5,SVM-rbf
V47,7.353293413173643,0.007683692176774966,957.0,0.0,181.0,5,SVM-rbf
V48,0.5556886227544908,0.0016200834482638217,343.0,1.0,15.0,5,SVM-rbf
V49,0.025149700598802338,0.00029940119760478977,84.0,1.0,1.0,5,SVM-rbf
V5,0.015568862275449041,0.0003312523888393413,47.0,1.0,1.0,5,SVM-rbf
V50,0.03832335329341327,0.00023952095808383293,160.0,1.0,2.0,5,SVM-rbf
V51,-0.015568862275449097,-0.00028831226436016845,54.0,1.0,0.0,5,SVM-rbf
V52,-0.014371257485029931,-0.0017964071856287414,8.0,1.0,0.0,5,SVM-rbf
V53,0.010778443113772657,0.0001253307338810774,86.0,1.0,2.0,5,SVM-rbf
V54,-0.019161676646706538,-0.001127157449806267,17.0,1.0,0.0,5,SVM-rbf
V55,0.02035928143712576,0.00024237239806102094,84.0,1.0,1.0,5,SVM-rbf
V56,-0.017964071856287345,-0.00030972537683254044,58.0,1.0,0.0,5,SVM-rbf
V57,-0.010778443113772407,-0.0004491017964071836,24.0,1.0,0.0,5,SVM-rbf
V58,-0.010778443113772435,-0.00015397775876817765,70.0,1.0,0.0,5,SVM-rbf
V59,-0.011976047904191545,-0.011976047904191545,1.0,1.0,0.0,5,SVM-rbf
V6,-0.002395209580838331,-4.3549265106151474e-05,55.0,1.0,0.0,5,SVM-rbf
V60,-0.008383233532934187,-0.0005988023952095847,14.0,1.0,0.0,5,SVM-rbf
V7,-0.015568862275449069,-0.0008649367930805038,18.0,1.0,0.0,5,SVM-rbf
V8,0.14850299401197586,0.0005120792896964684,290.0,1.0,8.0,5,SVM-rbf
V9,0.8323353293413173,0.0027469812849548426,303.0,1.0,27.0,5,SVM-rbf
