fold,measure,n_features,top_features,acc_train,gps_train,acc_test,gps_test,complexity_Hostility,complexity_N1,complexity_kDN,model
2,Hostility_importances_norm,10,"['f14', 'f6', 'f8', 'f2', 'f4', 'f0', 'f3', 'f1', 'f11', 'f9']",0.8025,0.8024984618260267,0.825,0.8247397651057632,0.12375,0.14922321428571428,0.17925000000000002,NaiveBayes
2,N1_importances_norm,10,"['f9', 'f8', 'f3', 'f2', 'f6', 'f4', 'f1', 'f0', 'f14', 'f5']",0.81375,0.8137467813383873,0.815,0.8145391924720933,0.12625,0.13133035714285715,0.16150000000000003,NaiveBayes
2,kDN_importances_norm,10,"['f7', 'f1', 'f9', 'f8', 'f5', 'f0', 'f6', 'f4', 'f2', 'f14']",0.82,0.8199945120278056,0.84,0.8395223880597014,0.0775,0.10629761904761903,0.1325,NaiveBayes
3,Hostility_importances_norm,10,"['f6', 'f8', 'f0', 'f2', 'f9', 'f14', 'f7', 'f3', 'f10', 'f11']",0.80625,0.8062195809807353,0.79,0.7886893389377151,0.13125,0.14939880952380952,0.18600000000000003,NaiveBayes
3,N1_importances_norm,10,"['f9', 'f8', 'f2', 'f4', 'f0', 'f14', 'f1', 'f7', 'f10', 'f5']",0.82375,0.8237416417698107,0.78,0.7789799072642969,0.14875,0.12872916666666664,0.188,NaiveBayes
3,kDN_importances_norm,10,"['f9', 'f2', 'f8', 'f1', 'f7', 'f6', 'f14', 'f5', 'f3', 'f4']",0.82625,0.8262470427824983,0.79,0.7893333333333334,0.1,0.106,0.13975,NaiveBayes
4,Hostility_importances_norm,10,"['f14', 'f6', 'f2', 'f10', 'f8', 'f4', 'f9', 'f1', 'f7', 'f0']",0.8175,0.8171421130040446,0.83,0.8299795156042896,0.10375,0.11896130952380951,0.15600000000000003,NaiveBayes
4,N1_importances_norm,10,"['f8', 'f1', 'f9', 'f2', 'f4', 'f14', 'f0', 'f7', 'f3', 'f6']",0.8175,0.817185525560023,0.825,0.8249946968089942,0.08125,0.09783333333333331,0.12875,NaiveBayes
4,kDN_importances_norm,10,"['f7', 'f6', 'f8', 'f2', 'f9', 'f3', 'f0', 'f5', 'f14', 'f11']",0.82875,0.8285790315001199,0.84,0.8399237732253453,0.10625,0.1314419642857143,0.17049999999999998,NaiveBayes
5,Hostility_importances_norm,10,"['f11', 'f5', 'f9', 'f14', 'f6', 'f7', 'f8', 'f2', 'f0', 'f1']",0.82375,0.8237229164571946,0.87,0.8699850557535348,0.10375,0.13710714285714284,0.15525000000000003,NaiveBayes
5,N1_importances_norm,10,"['f8', 'f1', 'f9', 'f6', 'f0', 'f14', 'f3', 'f2', 'f4', 'f7']",0.80875,0.8086875351496142,0.83,0.8299795156042896,0.09375,0.1059077380952381,0.13425,NaiveBayes
5,kDN_importances_norm,10,"['f8', 'f9', 'f7', 'f2', 'f6', 'f5', 'f3', 'f10', 'f14', 'f0']",0.8125,0.8124769202363367,0.84,0.8399237732253453,0.1225,0.13724999999999998,0.16899999999999998,NaiveBayes
1,Hostility_importances_norm,10,"['f8', 'f7', 'f14', 'f2', 'f1', 'f9', 'f5', 'f4', 'f6', 'f0']",1.0,1.0,0.81,0.8099061264822135,0.06625,0.09214583333333333,0.11725000000000002,DecisionTree
1,N1_importances_norm,10,"['f8', 'f2', 'f9', 'f6', 'f14', 'f3', 'f10', 'f0', 'f5', 'f4']",1.0,1.0,0.795,0.7949419647069925,0.14625,0.14239583333333333,0.18625,DecisionTree
1,kDN_importances_norm,10,"['f7', 'f8', 'f9', 'f4', 'f6', 'f2', 'f14', 'f1', 'f5', 'f0']",1.0,1.0,0.805,0.8049454816563637,0.06625,0.09214583333333333,0.11725000000000002,DecisionTree
2,Hostility_importances_norm,10,"['f14', 'f6', 'f8', 'f2', 'f4', 'f0', 'f3', 'f1', 'f11', 'f9']",1.0,1.0,0.805,0.8049939439113017,0.12375,0.14922321428571428,0.17925000000000002,DecisionTree
2,N1_importances_norm,10,"['f9', 'f8', 'f3', 'f2', 'f6', 'f4', 'f1', 'f0', 'f14', 'f5']",1.0,1.0,0.83,0.8298154625497527,0.12625,0.13133035714285715,0.16150000000000003,DecisionTree
2,kDN_importances_norm,10,"['f7', 'f1', 'f9', 'f8', 'f5', 'f0', 'f6', 'f4', 'f2', 'f14']",1.0,1.0,0.81,0.8096239485403266,0.0775,0.10629761904761903,0.1325,DecisionTree
3,Hostility_importances_norm,10,"['f6', 'f8', 'f0', 'f2', 'f9', 'f14', 'f7', 'f3', 'f10', 'f11']",1.0,1.0,0.78,0.7799717912552891,0.13125,0.14939880952380952,0.18600000000000003,DecisionTree
3,N1_importances_norm,10,"['f9', 'f8', 'f2', 'f4', 'f0', 'f14', 'f1', 'f7', 'f10', 'f5']",1.0,1.0,0.79,0.7893333333333334,0.14875,0.12872916666666664,0.188,DecisionTree
3,kDN_importances_norm,10,"['f9', 'f2', 'f8', 'f1', 'f7', 'f6', 'f14', 'f5', 'f3', 'f4']",1.0,1.0,0.79,0.7897604866303385,0.1,0.106,0.13975,DecisionTree
4,Hostility_importances_norm,10,"['f14', 'f6', 'f2', 'f10', 'f8', 'f4', 'f9', 'f1', 'f7', 'f0']",1.0,1.0,0.815,0.8149943249792937,0.10375,0.11896130952380951,0.15600000000000003,DecisionTree
4,N1_importances_norm,10,"['f8', 'f1', 'f9', 'f2', 'f4', 'f14', 'f0', 'f7', 'f3', 'f6']",1.0,1.0,0.83,0.8299180327868853,0.08125,0.09783333333333331,0.12875,DecisionTree
4,kDN_importances_norm,10,"['f7', 'f6', 'f8', 'f2', 'f9', 'f3', 'f0', 'f5', 'f14', 'f11']",1.0,1.0,0.82,0.8199780461031835,0.10625,0.1314419642857143,0.17049999999999998,DecisionTree
